file,read_ok,transferred_roots,solids,faces,valid_brep,dx_mm,dy_mm,dz_mm,volume_mm3
andymark/am-2200.step,1,1,1,378,1,508.0000002,76.2000002,38.1000002,265339.535091
andymark/am-5001-4700.step,1,1,1,762,1,12.7000002,12.7000002,1193.8000002,72020.3191727
andymark/am-5177.step,1,1,1,754,1,25.4000002,25.4000002,1193.8000002,169018.297789
andymark/am-5178.step,1,1,1,754,1,25.4000002,25.4000002,1193.8000002,313968.095328
andymark/am-5179.step,1,1,1,1498,1,25.4000002,50.8000002,1193.8000002,253796.844703
andymark/am-5180.step,1,1,1,1498,1,25.4000002,50.8000002,1193.8000002,483525.189156
gobilda/4100-1214-0300.step,1,1,1,6,1,14.0000002,300.0000002,14.0000002,12252.211349
rev/REV-21-2160.step,1,1,1,1564,1,25.4000432798,25.4000432798,1193.80004328,160184.604349
rev/REV-21-2161.step,1,1,1,816,1,25.4000432798,50.8000432798,1193.80004328,225395.453861
rev/REV-21-2162.step,1,1,1,842,1,25.4000432798,50.8000432798,1193.80004328,407568.75214
rev/REV-21-2163.step,1,1,1,308,1,25.4003837258,50.8003837258,76.2003837258,20240.6359259
rev/REV-21-2164.step,1,1,1,490,1,25.4003837258,50.8003837258,127.000383726,32154.4678612
rev/REV-21-2165.step,1,1,1,672,1,25.4003837258,50.8003837258,177.800383726,44068.2997966
rev/REV-21-2169.step,1,1,1,1400,1,25.4003837258,50.8003837258,381.000383726,91723.6275379
rev/REV-21-2173.step,1,1,1,2128,1,25.4003837258,50.8003837258,584.200383726,139378.955279
rev/REV-21-2177.step,1,1,1,2856,1,25.4003837258,50.8003837258,787.400383726,187034.283021
rev/REV-21-2185.step,1,1,1,4312,1,25.4003837258,50.8003837258,1193.80038373,282344.938503
rev/REV-21-2289.step,1,1,1,4576,1,25.4000432798,50.8000432798,1193.80004328,214237.824142
rev/REV-21-2590.step,1,1,1,4190,1,25.4000432798,50.8000432798,1193.80004328,372872.472657
rev/REV-21-3540.step,1,1,1,754,1,25.4000002,25.4000002,1193.8000002,168918.32974
rev/REV-21-3543.step,1,1,1,754,1,25.4000002,25.4000002,1193.8000002,313768.15923
rev/REV-21-3552.step,1,1,1,1498,1,25.4000002,50.8000002,1193.8000002,253596.908605
rev/REV-21-3555.step,1,1,1,1498,1,25.4000002,50.8000002,1193.8000002,483125.316961
rev/REV-21-3558.step,1,1,1,136,1,25.4000002,50.8000002,76.2000002,27320.821167
rev/REV-21-3559.step,1,1,1,246,1,25.4000002,50.8000002,127.0000002,43874.2636678
rev/REV-21-3560.step,1,1,1,356,1,25.4000002,50.8000002,177.8000002,60427.7061686
rev/REV-21-3564.step,1,1,1,796,1,25.4000002,50.8000002,381.0000002,126641.476172
rev/REV-21-3568.step,1,1,1,1236,1,25.4000002,50.8000002,584.2000002,192855.246175
rev/REV-21-3572.step,1,1,1,1676,1,25.4000002,50.8000002,787.4000002,259069.016178
rev/REV-21-3580.step,1,1,1,2556,1,25.4000002,50.8000002,1193.8000002,391496.556184
rev/REV-21-3586.step,1,1,1,1498,1,25.4000002,50.8000002,1193.8000002,688585.225066
tubecon/rectangle_-_100.0_x_25.0_x_1.60.step,1,1,1,18,1,100.0000002,25.0000002,1000.0000002,383167.43158
tubecon/rectangle_-_100.0_x_25.0_x_3.00.step,1,1,1,18,1,100.0000002,25.0000002,1000.0000002,690823.001647
tubecon/rectangle_-_100.0_x_50.0_x_1.60.step,1,1,1,18,1,100.0000002,50.0000002,1000.0000002,463167.43158
tubecon/rectangle_-_80.0_x_40.0_x_4.50.step,1,1,1,18,1,80.0000002,40.0000002,1000.0000002,946851.753706
tubecon/rectangle_-_80.0_x_60.0_x_1.60.step,1,1,1,18,1,80.0000002,60.0000002,1000.0000002,431167.43158
tubecon/round_-_34.1_x_2.50.step,1,1,1,6,1,34.1000002,34.1000002,1000.0000002,248185.819634
tubecon/round_-_34.9_x_1.20.step,1,1,1,6,1,34.9300002,34.9300002,1000.0000002,127159.104247
tubecon/round_-_38.1_x_0.90.step,1,1,1,6,1,38.1000002,38.1000002,1000.0000002,105180.522042
tubecon/square_-_100.0_x_100.0_x_2.50.step,1,1,1,18,1,100.0000002,100.0000002,1000.0000002,958904.862255
tubecon/square_-_100.0_x_100.0_x_6.00.step,1,1,1,18,1,100.0000002,100.0000002,1000.0000002,2163292.00659
tubecon/square_-_70.0_x_70.0_x_2.00.step,1,1,1,18,1,70.0000002,70.0000002,1000.0000002,533699.111843
tubecon/square_-_75.0_x_75.0_x_5.00.step,1,1,1,18,1,75.0000002,75.0000002,1000.0000002,1335619.44902
wcp/WCP-0910.step,1,1,1,6,1,914.4000002,9.4996002,9.4996002,47009.7985342
wcp/WCP-0913.step,1,1,1,6,1,914.4000002,12.6746002,12.6746002,97571.0469578
wcp/WCP-1142.step,1,1,1,30,1,914.4000002,19.0246002,19.0246002,130925.594793
wcp/WCP-1269.step,1,1,1,6,1,1193.8000002,19.0246002,19.0246002,103061.701231
